loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
3580,Kepler-911,Kepler-911 b,1,20.31050100,,19h54m21.40s,298.589186,+40d45m02.5s,40.750689,567.00,6112.00,1.34,1.99,,2.600,2016,0,
3581,Kepler-912,Kepler-912 b,1,2.53475627,,19h52m26.69s,298.111206,+41d45m30.0s,41.758333,1265.00,5998.00,1.07,1.11,,2.800,2016,0,
3582,Kepler-913,Kepler-913 b,1,10.29672521,,19h50m19.95s,297.583122,+41d57m08.8s,41.952431,597.00,4687.00,0.63,0.61,,2.060,2016,0,
3583,Kepler-914,Kepler-914 b,1,4.40966548,,19h21m38.88s,290.412001,+44d53m57.6s,44.899330,678.00,5877.00,1.10,1.15,,1.380,2016,0,
3584,Kepler-915,Kepler-915 b,1,4.59489604,,19h22m22.10s,290.592077,+45d44m13.7s,45.737137,806.00,6173.00,1.21,1.38,,1.500,2016,0,
3585,Kepler-916,Kepler-916 b,1,32.29687980,,19h23m56.00s,290.983322,+45d58m23.9s,45.973301,769.00,5248.00,0.85,0.81,,1.760,2016,0,
3586,Kepler-917,Kepler-917 b,1,2.97041437,,19h56m12.30s,299.051260,+47d56m57.4s,47.949284,1027.00,5418.00,0.80,0.76,,1.910,2016,0,
3587,Kepler-918,Kepler-918 b,1,4.85386933,,19h52m48.17s,298.200719,+48d16m04.2s,48.267838,1245.00,6028.00,1.11,1.14,,1.740,2016,0,
3588,Kepler-919,Kepler-919 b,1,11.04603384,,19h52m27.55s,298.114772,+48d29m39.9s,48.494404,1219.00,6113.00,1.15,1.21,,2.250,2016,0,
3589,Kepler-92,Kepler-92 b,3,13.74900000,,19h16m20.65s,289.086058,+41d33m46.6s,41.562941,484.62,5883.00,,1.53,64.30000,3.510,2013,0,
3590,Kepler-92,Kepler-92 c,3,26.72300000,,19h16m20.65s,289.086058,+41d33m46.6s,41.562941,484.62,5883.00,,1.53,6.10000,2.600,2013,0,
3591,Kepler-92,Kepler-92 d,3,49.35680000,0.070000,19h16m20.65s,289.086058,+41d33m46.6s,41.562941,484.62,5883.00,,1.53,,2.067,2015,0,
3592,Kepler-920,Kepler-920 b,2,6.53192704,,18h57m11.27s,284.296949,+49d09m31.2s,49.158676,926.00,5403.00,0.89,0.85,,2.420,2016,0,
3593,Kepler-920,Kepler-920 c,2,100.82741130,,18h57m11.27s,284.296949,+49d09m31.2s,49.158676,926.00,5403.00,0.89,0.85,,3.800,2016,0,
3594,Kepler-921,Kepler-921 b,1,51.30063400,,18h58m27.89s,284.616205,+49d11m26.9s,49.190811,847.00,5663.00,0.93,0.91,,2.870,2016,0,
3595,Kepler-922,Kepler-922 b,1,0.93846683,,18h58m55.55s,284.731462,+49d31m59.5s,49.533195,558.00,5671.00,0.95,0.93,,1.420,2016,0,
3596,Kepler-923,Kepler-923 b,1,6.93366476,,19h36m41.06s,294.171085,+40d03m18.6s,40.055165,966.00,5988.00,1.11,1.26,,1.380,2016,0,
3597,Kepler-924,Kepler-924 b,1,61.03701170,,19h22m40.44s,290.668512,+40d23m51.8s,40.397718,995.00,6167.00,1.14,1.23,,3.070,2016,0,
3598,Kepler-925,Kepler-925 b,1,33.86785310,,19h20m25.57s,290.106539,+40d29m26.4s,40.490657,623.00,4673.00,0.77,0.72,,2.340,2016,0,
